place_id,name,address,types,region,lad_code,imd_quintile,is_true_salon,notes
ChIJMaPujXQ-bEgRGsQR5OGBiSU,TLC Salon,"25 Market Pl, Bideford EX39 2DR, UK",beauty_salon;establishment;hair_care;hair_salon;nail_salon;point_of_interest;service,SW_England,E07000046,1,False,Web-checked: no UV sunbed services found
ChIJrWzWVOw_bEgRi7ipM1OMMnw,Palm Springs,"6 Allhalland St, Bideford EX39 2JD, UK",beauty_salon;establishment;point_of_interest;service,SW_England,E07000046,1,True,Web-confirmed: website page for tanning beds and spray tans; sunshowers with 186 tubes
ChIJrzeCn3U-bEgR6Tfda3UVLZs,Colorseum,"53 Mill St, Bideford EX39 2JR, UK",barber_shop;beauty_salon;body_art_service;doctor;establishment;hair_care;hair_salon;health;massage;nail_salon;point_of_interest;service;store;tanning_studio,SW_England,E07000046,1,True,
ChIJZ01ne-U9bEgRD4UgSXwCfIE,Essential Wax & Beauty,"Invicta, The Pill, Kingsley Rd, Bideford EX39 2PF, UK",beauty_salon;establishment;point_of_interest;service,SW_England,E07000046,2,False,Web-checked: no UV sunbed services found
ChIJ_T3k8Yo9bEgR7e2Bm0XuNdc,Tesco Express,"Golf Links Rd, Westward Ho!, Bideford EX39 1LH, UK",convenience_store;establishment;food;food_store;grocery_store;market;point_of_interest;store;supermarket,SW_England,E07000046,2,False,Supermarket / food retailer
ChIJp_d00XtvbEgRY0HAp2jlXQY,Lux beauty studio,"4 Chapel St, Holsworthy EX22 6AR, UK",beauty_salon;establishment;point_of_interest;service,SW_England,E07000046,2,False,Web-checked: no UV sunbed services found
ChIJGSjRL3MCbUgRjqO3PrOmgW0,Julie Adams Beauty,"28 Staddon Road and, Atlantic Racquet Centre, Appledore, Bideford EX39 1RF, UK",beauty_salon;establishment;foot_care;hair_care;health;massage;medical_clinic;point_of_interest;service;skin_care_clinic,SW_England,E07000046,3,False,Web-checked: no UV sunbed services found
ChIJLZRt62k_bEgRrNw2hYvjRwc,Lidl,"New St, Great Torrington, Torrington EX38 8BX, UK",establishment;food;food_store;grocery_store;point_of_interest;store;supermarket,SW_England,E07000046,3,False,Supermarket / food retailer
ChIJN3T8W10_bEgRLsFXSRp-dGY,Blink to Beauty,"Door 13 (DS ELECTRICAL, UNIT), Unit 11, Daddon Court, Bideford EX39 3FH, UK",beautician;establishment;point_of_interest,SW_England,E07000046,4,False,Web-checked: no UV sunbed services found
ChIJTRooF5Y_bEgRbiamWbrXR0A,Shot of Perfection,"Unit 3a, Clovelly Road Industrial Estate, Clovelly Rd, Bideford EX39 3HN, UK",beauty_salon;body_art_service;establishment;hair_care;health;makeup_artist;massage;nail_salon;point_of_interest;service;tanning_studio,SW_England,E07000046,4,True,
ChIJ0x_g7YZabEgRVz_7GEHb0Lc,Boots,"27-28 Fore St, Okehampton EX20 1HB, UK",beauty_salon;child_care_agency;clothing_store;cosmetics_store;establishment;gift_shop;point_of_interest;service;store,SW_England,E07000047,2,False,Chain pharmacy or foot clinic - no sunbeds
ChIJ56pkK5rzbEgRqRR2JnsIlk4,"Reflections - Hair, Nails & Tanning","38 Station Rd, Horrabridge, Yelverton PL20 7SS, UK",establishment;hair_care;hair_salon;point_of_interest;service,SW_England,E07000047,2,True,
ChIJL8xcAG5bbEgRsfWx07wpwFc,Elena's,"26 Red Lion yard, Okehampton EX20 1AW, UK",beauty_salon;body_art_service;establishment;hair_care;health;massage;massage_spa;nail_salon;point_of_interest;service;spa,SW_England,E07000047,2,False,Web-checked: no UV sunbed services found
